ID,Original,Tradução
/0588F9BC4E7CC21B606EA28B99C43CA0,(Herblore) Potion Buff Duration,(Herbalismo) Duração do Buff de Poção
/AB5D56724631755E45D8D0B67F7C94A1,(Hold),(Segurar)
/2F84F2284313C90EAF02BF873A045AEC,(Magic) Attack Speed,(Mágica) Velocidade de Ataque
/33F0188249F3F163A51AD0A049534CF2,(Magic) Rune Refund Chance,(Mágica) Chance de Reembolso de Runa
/E4AF2DEF4309DA79825EFEAFE1F84863,(Magic) Stamina Cost Reduction,(Mágica) Redução do Custo de Stamina
/3147DCBA4C4F11A3A918BBB66C6E6091,(Mining) Mining Damage Modifier,(Mineração) Modificador de Dano na Mineração
/189986944882785CBF495FA5D819E727,(Mining) Mining Stamina Cost Modifier,(Mineração) Modificador de Custo de Stamina na Mineração
/DCF3859642C41B77B4557FBE4217D310,(Mining) Mining Swing Speed Multiplier,(Mineração) Multiplicador de Velocidade de Golpe na Mineração
/B064CE0B4952D32A17114BA7BDAA58C7,(Ranged) Draw Time Reduction,(Combate à Distância) Redução do Tempo de Preparação
/C7ADF4AB457143A7A9A7DD8529F600E5,(Ranged) Draw Time Reduction Slow,(Combate à Distância) Redução Lenta do Tempo de Preparação
/83E96B8E4A38A7A907A03C96F27D2A66,(Ranged) Draw Time Reduction Small,(Combate à Distância) Pequena Redução do Tempo de Preparação
/4341056B4E7A15782DC540BBD1B94FC4,(Ranged) Stamina Cost Reduction,(Combate à Distância) Redução do Custo de Stamina
/81DFB61A4BB3FAF45C634CA245DF2C8A,(Ranged) Zoom Increase,(Combate à Distância) Aumento do Zoom
/E1E3418047005F67539F3E9CF2B75593,(Runecrafting) Increase Repair Cost Refund Chance,(Criação de Runas) Aumenta a Chance de Reembolso do Custo de Reparo
/162785BB415741685D07DEAA39657337,(Runecrafting) Reduce Magic Attack Durability Loss,(Criação de Runas) Reduz a Perda de Durabilidade no Ataque Mágico
/3353082B4A910C3EB3DADDAAE82245A0,(TEST) Animal Trap,(Teste) Armadilha de Animais
/26ECBBFF4F5ABFDB51FDF086FD47A09A,(Thieving) Sneak Move Speed Bonus,(Ladrão) Bônus de Velocidade de Movimento ao Furtivar
/466FB2334487B2400C57698748038338,(Thieving) Sneakiness,(Ladrão) Furtividade
/707A5B924CA0E6C3C5CB159754577457,(Woodcutting) Damage Modifier,(Corte de Lenha) Modificador de Dano
/06264E824CC9C4C8C2A2EDA4426027C4,(Woodcutting) Stamina Cost Modifier,(Corte de Lenha) Modificador de Custo de Stamina
/8A299F4D422F448FB754139112A61815,(Woodcutting) Swing Speed Multiplier,(Corte de Lenha) Multiplicador de Velocidade de Golpe
/FF1F7B564B0DA17527D5239BAB609AC8,(not yet implemented),(ainda não implementado)
/F372B73947DC06AE83F0E49389FD5E69,({0}),({0})
/9D8905734825A0896F48C79C519B6F56,+,+
/BB6EBE904307E73CCA2BA78F44BEE9D6,+,+
/97F2E0774D6985C4A86012A3F3F46F30,+ 150 XP,+ 150 XP
/D683AE1644A1641046E392BFAA16225E,+ 150 XP,+ 150 XP
/9DEBC4F245E469B63FCBC6864AF062C5,+ {XPAmount} XP,+ {XPAmount} XP
/D0771A2A44E30057D033B0983673FB34,+ {XPAmount} XP,+ {XPAmount} XP
/3E1717E14902369F09C2AF80AA48102D,+10%,+10%
/0035175F4C957ADEA93F9F9519637442,+15%,+15%
/1E5097424D789CDFB5D8F999C23EAFAA,+15%,+15%
/2E56B55E471BA130F8100686A4771D16,+15%,+15%
/6FB99FF244B314345231AC9C0DA00585,+15%,+15%
/E8FB8F6C4F2E2D18DC0CC089A2924CB8,+50,+50
/7E998F2B4AFE7DA41DDC02BA62AA7B7E,"+500xp-Attack +500xp-Ranged
+500xp-Magic",+500xp-Ataque +500xp-Distância +500xp-Magia
/0B77072E4B5950645A3E31B9205C2E51,-15%,-15%
/127D481F4748A9018B07CDAB275C0E32,-15%,-15%
/3D248FDA4B6C7E1D256BDDA16A98CF33,-15%,-15%
/DE83B9AD4667EAC25D5A3981C8A26939,-15%,-15%
/77A3F398433D6256378CAEACFD6A55E0,/,/
/D26050B744F6D46F22C9759A84506241,/,/
/A06D68F547638A377C78C2962128B827,0,0
/BF0D4F614951D0B6F0CF3B9213E37F22,0,0
/9F6CC7264C6D487242F0F29B4BB614F1,0/6,0/6
/256A855D482D252CEB78FE99C2DABB55,0,0
/2EF912EB4957AD1E26A54692BFBDC039,0,0
/45BDF027400E01DB65EAA1B2D7573FA6,0,0
/B672A76D485F2DF21EAF9C93AEDE4CB1,0,0
/D3BF68C4451E7A0D9D7DE3B42EEB0194,0,0
/5EDB9FFD4C1CF6254E239BA950D88AD7,00/00/00,00/00/00
/1974A93F4971F287B31E46973498C338,0,0
/D4406217471742A5EC796BB1BFB86915,000.0 / 000.0,000.0 / 000.0
/E9E0F4CF4530F6D5AA3DD7B113FCDC71,00:01,00:01
/012F67B34F3952ABC71434ADD6418250,1,1
/705A41E14ACA00431D7F18AFE24FE6BC,1,1
/763B92024FF97F01F6D33CA6F1803D71,1,1
/896EC5D84487BA53C59D6F925202170B,1,1
/973BAE8C416C2FAB8DDD9BB4FF62C1E8,1,1
/FCB0F39B41471BFA3F04FEA2E8F7BD63,1/2,1/2
/AFFFBC7E4F1C720417EB55B3D6B1A751,1/3,1/3
/31CE101844401DF9316D63B2AF94B5AF,100 m,100 m
/DB4CDA0A4086061A555CC2AF81C89931,123,123
/04EE969D454205DBC260B79AE2709DE5,2,2
/D628C59040D917DD18E5DEAD940AD5C6,2,2
/918A48434AB415B8DC80C8B4E0C17336,20 / 20,20 /20
/A5F67069454611920CF4A2BB81FF66E6,20 / 20,20 /20
/1993CC3E4FA95D0C22FA8F9D59E99D02,25,25
/67A9797148A42576F81EF0A362FA77FE,2d,2d
/C2B982644BEBEED8701F9B8018C569FB,3,3
/80E73AF04F73C89453A75FAC3FC44022,30° Hip Roof,Teto de 30° de quadril
/8C6D18454F978BC83C1918AE9F1AF2AB,30° Hip Roof,Teto de 30° de quadril
/40E00B4F4F53C0C419153F8FA122ACD9,30° INVERTED ROOF SUPPORT WALL,Parede de suporte do telhado invertido de 30°
/EA9E049A4A4FAF163A1ADC8E07AFA652,30° INVERTED ROOF SUPPORT WALL,Parede de suporte do telhado invertido de 30°
/04A291984F322C3DA73F52A256E2966D,30° Inverted Triangle Roof,Teto de triângulo invertido de 30°
/F3BFDBBC4B616CC94DE68AB79FFC84F9,30° Inverted Triangle Roof,Teto de triângulo invertido de 30°
/277688664346A71EE2BAB4AE529BADA8,30° ROOF SUPPORT WALL,Parede de suporte de 30° no teto
/2E4938C04928C720DFB67A8547B7165B,30° ROOF SUPPORT WALL,Parede de suporte de 30° no teto
/AB14E4E040121DA1E160CBB866177A25,30° Roof,Teto de 30°
/F3D82B4844A29483D5D055BFD44F8156,30° Roof,Teto de 30°
/5920CC104E55BC42F1EA22B63AF9A003,30° STAIRS,Escadaria de 30°
/86822BC842144DFD155A598D08139E51,30° STAIRS,Escadaria de 30°
/7F9E812C4C1D66C284816E9D47D18CFB,30° THICK BEAM,Suporte espesso de 30°
/1ED2A87B4B63DD64AE567A9C1EFF7B66,30° THIN BEAM,Suporte fino de 30°
/7B0901444671CE9EB2AC31852BD4DDC6,30° THIN BEAM,Suporte fino de 30°
/87151DE749F92896BA69B4ACEE652B4F,30° Thick Beam,Suporte de 30°
/0FF263D643E738EA9A2F3CA4EE155918,30° Triangle Roof,Cobertura Triângular de 30°
/E83898E348864574469B058BB9037442,30° Triangle Roof,Cobertura Triângular de 30°
/8762FB0B42DFF446960475BA0EFCF76A,30° Valley Roof,Telhado do Vale de 30°
/BD55C73846D230EF4C4484BA8E2A5664,30° Valley Roof,Telhado do Vale de 30°
/1A06076840B3B26717C7B4B475E4669B,3D,3d
/CBDF68DA468014891BDD5381106B35C3,4,4
/2F2B027F486D13C5D7C2A8AFA61D414A,45° Hip Roof,Telhado de 45° Hip
/8535A5744E5EDABA9A136D84842B8C14,45° Hip Roof,Telhado de 45° Hip
/414AFED5440906E34552D2A29FBF95F2,45° INVERTED ROOF SUPPORT WALL,Parede de suporte do telhado invertido de 45° 
/A4AC1E6F4D120BDA1082BA82E549B303,45° INVERTED ROOF SUPPORT WALL,Parede de suporte do telhado invertido de 45°
/4601C9B3499DD76FD4A95AAB6F3FC4B0,45° Inverted Triangle Roof,Triângulo invertido de 45°
/AE1085524BF3346BD97BDCA1549569EB,45° Inverted Triangle Roof,Triângulo invertido de 45°
/7DE029D340B0EA8C27D292829E0245A0,45° ROOF SUPPORT WALL,Parede de suporte ao teto de 45°
/DE2793E14A19EC692DAD4FA5724AC496,45° ROOF SUPPORT WALL,Parede de suporte ao teto de 45°
/20359234449157C32A0B43885EA50900,45° Roof,Telhado de 45° 
/E9432A164F659424D0CA269DEC4D118C,45° Roof,Telhado de 45° 
/88F43E77422B4463C13B0494D2A7FB67,45° STAIRS,Escadas de 45° 
/989C8A934C63BD642F46C6B1C6FD0E03,45° STAIRS,Escadas de 45° 
/DDAC497D447CAE4FD0A0258D91AD4180,45° THICK BEAM,Suporte espesso de 45°
/5B3795C24516CD8CE9BAE9BFF245CB8B,45° THIN BEAM,Suporte fino de 45°
/D86235D140CC4CE44528CBAA0047AC57,45° THIN BEAM,Suporte fino de 45°
/76D72ECD46DAEB87CA30C5A0D363E30C,45° Thick Beam,Suporte espesso de 45°
/C9FC0116438FA3C97C27928DC3942EE8,45° Triangle Roof,Cobertura Triângular de 45°
/E2F4BF794CF80C6D186CB78F560DADBA,45° Triangle Roof,Cobertura Triângular de 45°
/A5CDE84E448CAF7B574FF2986786FA16,45° Valley Roof,Telhado do Vale de 45°
/CAA2774641D85FB75D17B5B40F039DC8,45° Valley Roof,Telhado do Vale de 45°
/16F9B403490D02CCAC2C1D9963EBDCFA,5%,5%
/D6DC95474D62913BAD5F718D499EBB4F,50,50
/F0C7EFBE44D626A84EC5A3BA001A4094,60° Hip Roof,RELAÇÃO DE 60° HIP
/B4BBAEDA4089664107CDF2B721D3F80B,60° INVERTED ROOF SUPPORT WALL,60° Parede de suporte do telhado invertido
/E75F05CA4DB4810AC4E3B7A6C0F4E98D,60° Inverted Triangle Roof,60° Triângulo invertido telhado
/97D8244A49B1F04D110A3E9C07589540,60° ROOF SUPPORT WALL,Parede de suporte de 60°
/5EF65F0744A685EDB79D5AB2E8ECC057,60° Roof,60° TELHO
/1F91322E47C182B0B9BE119636FB6649,60° THICK BEAM,Vito de espessura de 60°
/FA62AC89443C092E0C901F8E2A5F927C,60° THICK BEAM,Vito de espessura de 60°
/2401D5CC4F235059F1132CB37F4E9772,60° THIN BEAM,Vante fino de 60°
/F8798E544E8D07F5077E5F828076897A,60° THIN BEAM,Vante fino de 60°
/101DFBF24A5E7C0A5E8836A61EFC0498,60° Triangle Roof,RELAÇÃO TRIANGULA DE 60°
/E03888CF4F9483930222FA8B249B9121,60° Valley Roof,Telhado do vale de 60°
/123629274D8DE5FF2C696294611AA8BD,99,99
/12E7E4A7446F2498157E55A7BD188234,99,99
/BA7474D94A088891294554A4524DB0FA,99,99
/1584FF4C4B7185D8E482B49CAECEDA3D,999,999
/07901B744C13756AD6205685268AA2FB,999 HP/S,999 HP/S.
/E39AEC82497D1271EA534DBF628C812E,999 STA/S,999 Sta/s
/77433FDF44D9611D7059D0904D6DD159,<,<
/2E1D9F6A4D7819C1228FB49AD95C52AF,<RichText.Icon.Xbox-A/>,<RichText.Icon.Xbox-A/>
/C59E7B81430E4CAE369B54B4A5158FA9,#ERROR!,#ERROR!
/D9ABF8AF422C496E2745318588EE11B5,#ERROR!,#ERROR!
/C6C3306349D4EF6812A441B5CCC6E017,#ERROR!,#ERROR!
/E98C03FB462315C00EB56DBE283B032B,#ERROR!,#ERROR!
/7347B782461D272EC8538A9A0B8D39A5,#ERROR!,#ERROR!
/84CF9A4544CEC3A9042C7294AE4EE156,#ERROR!,#ERROR!
/D1EBF1244850E5522766A9973BC6F61B,#ERROR!,#ERROR!
/27C166DD43E7433FDB02E0A109D05B40,>,>
/B4103BA84C632BB23154CEA206052DEF,>,>
/0973739540F8C634B2229AAD2CF7AA25,???,???
/D5BEBCE5468CBF219E91F48D42D2154A,A,UM
/CCDE950C45E31C8CB2D0D6A79471ED19,A Button,Um botão
/D541FA90440243FA6B265D9C1F434408,A basic building and crafting material.,Um material básico de construção e artesanato.
/0E6D552449160C06588600A2CA9B35FA,"A basic but reliable blade, suitable for close combat.","Uma lâmina básica, mas confiável, adequada para combate próximo."
/5A2773A647EA6519916DE69D566C2B87,A basic crafting material created from animal hide and commonly used for making equipment.,Um material básico de artesanato criado a partir de pele de Animal e comumente usado para fabricar equipamentos.
/3B5A0C2F4CF99920C00AE7A1428ACFB5,A basic mining tool made from tough animal bone. It is hard enough to mine Copper and Tin deposits.,Uma ferramenta básica de mineração feita de ossos de animais difíceis. É difícil o suficiente para minerar depósitos de cobre e estanho.
/FC702091486A73BBFFA7FCBA1F637F84,"A blank canvas for creating enchanted amulets, just add precious metals and gems.","Uma tela em branco para criar amuletos encantados, basta adicionar metais e gemas preciosas."
/B15E69CC46FE40F15149D39C363245FB,"A building material, can be ground into sand.","Um material de construção, pode ser moído na areia."
/F6EEC54D43EBB69353A953AA95A6D02A,A cartilaginous extension of a deer skull. It can be used as a rack for tanning animal hide.,Uma extensão cartilaginosa de um crânio de veado. Pode ser usado como um rack para a pele de Animal de Bronzeamento.
/63CF9C20404F19E64C876B9AF9919D09,"A carved piece of wood decorated with metal ornaments, sturdy enough to swing the heavy granite head. Made of blightwood, found in the Bloodblight Swamp.","Um pedaço de madeira esculpido decorado com ornamentos de metal, resistente o suficiente para balançar a cabeça de granito pesado. Feito de Blightwood, encontrado no pântano da luz de sangue."
/57EC1E14436AB0E8A0C93ABE677A8C56,"A cloth shoulder bag, grimy and poorly kept.","Uma bolsa de ombro de pano, suja e mal mantida."
/65A4AF1244063551BFDEFBA1D31BF6E4,"A cloth shoulder bag, grimy and poorly kept.","Uma bolsa de ombro de pano, suja e mal mantida."
/2D36D8C24EFCF407828532BE07730E60,A comfortable bed to sleep in and skip the night.,Uma cama confortável para dormir e pular a noite.
/526CEF6C4ABC9C44F080D4985BC168F2,"A common crustacean caught from rivers and lakes, suitable for cooking.","Um crustáceo comum capturado de rios e lagos, adequado para cozinhar."
/75EC9AB6419E69659DFDDBAD305F265B,"A dedicated space to make potions, tinctures, and other useful resources.","Um espaço dedicado para fazer poções, tinturas e outros recursos úteis."
/F668ED0446B33B52C78A8A8BF0B51B1C,"A dense stone used for construction and crafting. Very commonly found underground, in mines and dungeons.","Uma pedra densa usada para construção e artesanato. Muito comumente encontrado no subsolo, em minas e masmorras."
/FCA5FD8E4FB7781C5229509AC5773899,A enchanting machine capable of imbuing the enchantments from jewellery onto other equipment.,Uma máquina encantadora capaz de imbuir os encantamentos de jóias em outros equipamentos.
/040BD3FB4E6608C7BD03C686A3E113D0,A fancy round table.,Uma mesa redonda sofisticada.
/4B9A77D44376E4A0380713A03CB6B7DE,A fancy shelf to put things upon.,Uma prateleira chique para colocar as coisas.
/357181F840521B0D2C26618112E75549,A fancy timeless table.,Uma mesa atemporal sofisticada.
/1B0726DA478D375A0D3B0384F026590A,A fibrous root with unique properties.,Uma raiz fibrosa com propriedades únicas.
/DD3615B8480C009E6C64F9992E3E4CB1,"A formed clay bowl, ready to be fired in a kiln.","Uma tigela de Barro formada, pronta para ser disparada em um forno."
/6AD5B1B1447341CC91CAF69EF5878755,"A formed clay pot, ready to be fired in a kiln.","Uma panela de Barro formada, pronta para ser disparada em um forno."
/4E6E280A4D359E1B7975F4A475F2F232,"A formed clay slab, ready to be fired in a kiln.","Uma laje de Barro formada, pronta para ser disparada em um forno."
/CF06EE724A24E174D6342F90FDFB60E9,"A furnace improvement. Building this near a furnace will grant an additional slot, very useful for smelting alloys, such as bronze.","Uma melhoria do forno. Construir isso perto de um forno concederá um slot adicional, muito útil para ligas de fundição, como o bronze."
/ABAC817F41D69188A944E48EAA908350,A goblin amulet bearing the sigil of Bandos.,Um amuleto de goblins com o sigilo dos bandos.
/496BB26C429D95BF4E12F1942BE2AD3E,"A goblin artefact, found on a druid.","Um artefato de goblin, encontrado em um druida."
/786166A0431AB98D07F27EBBF4D085CC,A hardy plant found in swamps and caves.,Uma planta resistente encontrada em pântanos e cavernas.
/0B61879245E41F0F2C163C8F16DF39C9,A held melee weapon,Uma arma corpo a corpo segurada
/E5F5CDBA4207579AD143A6AD9CCE9A5C,A held melee weapon,Uma arma corpo a corpo segurada
/A473E9094191D02A60CF248ECD7B3E70,"A horn of some sorts, it appears to have been violently smashed to pieces. Examine it to learn more.","Uma chifre de algum tipo, parece ter sido violentamente esmagado em pedaços. Examine-o para aprender mais."
/78DE5CD64C74E3F06CD4E1B8D1C7406D,"A hydrating drink, infused with primal fury.

PERK-FEROCIOUS---------------------------REDUCES the STAMINA cost of ATTACKS","Uma bebida hidratante, infundida com fúria primal.

PERK-FEROCIOUS---------------------------REDUZ o custo de STAMINA dos ATAQUES"
/12703A8A4B70783BEDD2C6AC2FE07C05,A large horn belonging to an animal. Used in crafting,Um grande chifre pertencente a um animal. Usado na criação
/95956AAE475D728BB6FC899DB3DB0B13,"A loom improvement. The loom harness grants an additional slot to the loom, allowing the loom to weave more complex textiles.","Uma melhoria para o tear. O arnês de tear concede um slot adicional ao tear, permitindo que o tear teça têxteis mais complexos."
/AA7444EB4DA43755F0A842907EBE75A7,A magical weapon carved from ash wood.,Uma arma mágica esculpida em madeira de Cinzas.
/D10DED9748F24D950FC82C979ECA2CE2,A magical weapon carved from oak wood.,Uma arma mágica esculpida em madeira de carvalho.
/64766D8544951D545E73CFAFF9BC68B8,A magical weapon fit for a Wizard.,Uma arma mágica adequada para um mago.
/36FF5B4D4804CE64E89BEB8DD25DD822,A mannequin on which you can mount armour on.,Um manequim no qual você pode montar armadura.
/2CAAB8D941506874E5A8B198A5C752EB,A massive granite war hammer head. The Garou masons imbue their stone weapons with with Wild Anima to make them stronger than metal.,Uma enorme cabeça de martelo de guerra em granito. Os pedreiros garou imbuam suas armas de Pedra com a anima selvagem para torná-las mais fortes que o metal.
